,Source,Destination,Total_Stops,airline_IndiGo,airline_Jet Airways,airline_other,info_No info,day,month,dep_hour,dep_minute,arrival_hour,arrival_minute,duration_hours,price
189,2,2,3.0,0,0,1,1,12,6,11,10,13,55,2,3383.0
190,2,2,1.0,1,0,0,1,3,3,12,10,17,5,4,8738.0
191,4,4,1.0,0,0,0,1,27,3,5,15,6,50,25,7165.0
192,4,4,1.0,1,0,0,1,24,6,16,10,22,30,6,6412.0
193,2,2,3.0,0,1,0,1,27,6,18,55,22,0,3,8016.0
194,2,2,1.0,0,1,0,0,12,3,20,35,15,15,18,11087.0
195,0,0,3.0,0,0,1,0,27,6,9,45,12,0,2,3543.0
196,3,3,1.0,0,1,0,1,12,6,16,30,4,40,12,12471.0
197,4,4,1.0,0,1,0,0,24,6,9,0,4,25,19,10262.0
198,2,2,3.0,0,0,0,1,18,3,13,20,16,10,2,4441.0
199,4,4,1.0,0,0,1,1,27,3,7,5,15,30,8,12537.0
200,3,3,1.0,0,0,1,1,24,3,22,25,7,40,9,10091.0
201,2,2,3.0,0,0,0,1,3,6,21,5,23,55,2,6961.0
202,4,4,3.0,1,0,0,1,24,4,5,35,8,50,3,5013.0
203,4,4,3.0,0,0,0,1,18,5,5,10,8,0,2,6934.0
204,4,4,1.0,0,0,1,1,3,6,6,40,19,0,12,10877.0
205,2,2,3.0,0,1,0,1,18,4,15,15,18,10,2,7229.0
206,4,4,1.0,1,0,0,1,27,3,16,0,1,35,9,7048.0
207,2,2,3.0,0,0,1,1,27,6,17,0,19,35,2,4878.0
208,3,3,1.0,0,1,0,0,21,5,14,5,23,35,9,10844.0
209,4,4,2.0,0,1,0,1,18,5,23,5,4,25,29,15129.0
210,2,2,3.0,1,0,0,1,12,5,0,30,3,25,2,3943.0
211,4,4,1.0,0,0,1,1,6,6,6,5,11,20,5,5583.0
212,4,4,1.0,0,0,1,1,6,6,7,5,16,10,9,9646.0
213,4,4,1.0,0,0,1,1,3,6,8,30,19,15,10,7677.0
214,4,4,1.0,1,0,0,1,1,6,5,10,10,5,4,6842.0
215,1,1,3.0,0,1,0,0,24,6,8,45,10,15,1,4995.0
216,3,3,1.0,0,0,1,1,9,6,7,10,18,50,11,9555.0
217,2,2,3.0,1,0,0,1,1,6,1,30,4,15,2,4077.0
218,2,2,3.0,0,1,0,1,12,5,15,15,18,10,2,7229.0
219,4,4,1.0,0,0,1,1,9,6,9,0,19,0,10,12192.0
220,2,2,3.0,0,0,0,1,12,4,10,0,12,45,2,5911.0
221,4,4,1.0,0,0,0,1,12,6,9,0,19,15,10,8372.0
222,1,1,3.0,0,1,0,0,18,3,7,10,8,35,1,4995.0
223,4,4,1.0,0,0,1,1,9,5,10,0,19,15,9,14323.0
224,4,4,2.0,0,1,0,1,9,6,5,30,4,25,22,13014.0
225,4,4,2.0,0,0,0,1,6,6,14,25,19,15,28,13591.0
226,4,4,2.0,0,1,0,1,3,3,5,25,18,50,37,18799.0
227,2,2,3.0,1,0,0,1,27,4,23,30,2,20,2,3943.0
228,1,1,3.0,0,0,1,0,21,5,5,45,7,15,1,1965.0
229,1,1,3.0,0,1,0,0,27,5,10,20,11,50,1,4995.0
230,3,3,1.0,0,0,0,1,24,3,16,50,18,30,25,14641.0
231,3,3,3.0,0,0,0,1,12,4,20,45,23,20,2,4460.0
232,4,4,1.0,0,0,0,1,18,5,13,0,19,15,6,10191.0
233,4,4,1.0,0,1,0,0,9,3,2,15,19,45,17,13843.0
234,4,4,1.0,1,0,0,1,1,5,21,50,3,35,5,6349.0
235,3,3,3.0,0,0,1,1,1,5,10,20,12,55,2,4409.0
236,4,4,1.0,0,1,0,1,6,3,18,15,19,45,25,17024.0
237,4,4,1.0,0,0,1,1,18,5,7,5,21,0,13,13727.0
238,2,2,3.0,1,0,0,1,15,3,18,25,21,20,2,8855.0
239,4,4,1.0,0,0,1,1,24,6,8,45,19,0,10,12524.0
240,2,2,1.0,0,1,0,1,18,3,11,40,20,20,8,13555.0
241,3,3,1.0,0,1,0,0,6,6,6,30,12,0,5,10844.0
242,4,4,1.0,0,0,1,1,9,6,9,0,21,0,12,13587.0
243,0,0,3.0,0,0,1,0,12,6,9,45,12,0,2,3543.0
244,0,0,3.0,0,0,1,1,18,3,7,5,9,20,2,4842.0
245,2,2,3.0,1,0,0,1,24,4,23,30,2,20,2,3943.0
246,4,4,1.0,0,1,0,0,9,6,19,15,4,25,9,10577.0
247,4,4,1.0,1,0,0,1,15,5,10,35,21,0,10,6979.0
248,0,0,3.0,0,0,1,1,27,6,17,45,20,5,2,11982.0
249,4,4,1.0,0,0,1,1,6,6,8,45,13,15,4,5264.0
250,4,4,3.0,0,0,1,1,3,3,6,0,9,10,3,8001.0
251,4,4,2.0,0,0,0,1,1,6,19,45,19,15,23,10651.0
252,3,3,1.0,0,1,0,0,24,5,16,30,19,50,27,10844.0
253,4,4,1.0,0,0,1,1,27,3,9,45,22,20,12,6601.0
254,4,4,1.0,0,0,0,1,21,3,19,0,19,15,24,6587.0
255,1,1,3.0,0,0,1,1,21,3,13,10,14,30,1,3173.0
256,2,2,3.0,0,0,0,1,9,5,10,0,12,45,2,5228.0
257,2,2,3.0,0,1,0,0,21,6,7,10,10,10,3,5769.0
258,4,4,1.0,0,1,0,1,6,6,8,0,19,0,11,14714.0
259,4,4,2.0,0,1,0,1,3,6,5,30,19,0,13,13014.0
260,2,2,3.0,1,0,0,1,3,6,22,10,1,0,2,3359.0
261,2,2,3.0,0,0,1,1,3,3,20,55,23,50,2,6722.0
262,3,3,3.0,1,0,0,1,18,3,9,35,12,20,2,4462.0
263,4,4,1.0,1,0,0,1,9,3,4,55,16,10,11,6171.0
264,3,3,2.0,0,0,0,1,21,5,5,50,20,25,14,12303.0
265,4,4,1.0,0,0,1,1,21,3,11,40,1,35,13,7695.0
266,4,4,1.0,1,0,0,1,24,6,11,25,1,30,14,5684.0
267,3,3,1.0,0,0,0,1,12,6,16,50,7,55,15,8366.0
268,0,0,3.0,0,0,0,1,1,3,11,40,13,55,2,19630.0
269,2,2,1.0,0,1,0,0,6,3,14,5,5,5,15,13502.0
270,3,3,1.0,0,1,0,1,1,5,21,10,10,5,12,14781.0
271,4,4,1.0,0,0,1,1,12,6,7,10,16,10,9,6513.0
272,4,4,1.0,0,0,0,1,1,6,7,0,19,15,12,9929.0
273,4,4,2.0,0,0,1,1,6,6,17,50,1,30,7,18275.0
274,4,4,1.0,0,0,0,1,9,4,6,5,9,25,27,4487.0
275,1,1,3.0,1,0,0,1,15,3,21,20,22,45,1,2754.0
276,1,1,3.0,0,0,0,1,27,3,6,20,7,40,1,2575.0
277,3,3,1.0,0,0,1,1,12,6,15,55,21,25,5,8224.0
278,4,4,1.0,0,0,0,1,9,3,20,30,8,15,11,8991.0
279,4,4,3.0,1,0,0,1,24,6,5,35,8,50,3,5000.0
280,3,3,1.0,0,1,0,0,12,6,18,55,19,50,24,8529.0
281,4,4,1.0,0,0,0,1,3,3,6,5,9,25,27,14042.0
282,2,2,3.0,0,1,0,0,24,5,11,10,14,5,2,4030.0
283,3,3,1.0,0,1,0,0,6,6,18,55,12,0,17,10844.0
284,3,3,3.0,1,0,0,1,6,5,21,25,0,5,2,4804.0
285,4,4,1.0,0,0,1,0,27,5,17,30,1,30,8,7308.0
286,2,2,3.0,1,0,0,1,12,5,16,55,19,55,3,4823.0
287,4,4,1.0,0,1,0,0,24,6,9,0,12,35,27,10262.0
288,4,4,1.0,0,1,0,0,27,5,20,55,4,25,7,12898.0
289,2,2,2.0,0,0,0,1,12,3,17,25,16,20,22,12778.0
290,4,4,1.0,1,0,0,1,3,3,4,45,13,20,8,14871.0
291,4,4,2.0,0,0,0,1,21,3,13,20,19,15,29,8708.0
292,3,3,1.0,0,1,0,0,6,6,20,0,18,15,22,10844.0
293,1,1,3.0,0,0,1,1,6,3,5,45,7,5,1,4129.0
294,3,3,3.0,1,0,0,1,18,5,21,25,0,5,2,4804.0
295,2,2,3.0,0,1,0,1,6,5,8,20,11,20,3,7229.0
296,2,2,1.0,0,1,0,0,21,3,7,0,19,10,12,7832.0
297,0,0,3.0,0,0,1,1,18,3,9,30,12,5,2,3859.0
298,4,4,1.0,0,0,1,1,6,6,7,30,19,15,11,9001.0
299,2,2,3.0,0,0,1,1,9,5,17,0,19,35,2,4878.0
300,1,1,3.0,1,0,0,1,3,5,2,35,4,5,1,2754.0
301,2,2,3.0,0,0,1,1,27,6,7,0,9,40,2,4668.0
302,3,3,3.0,0,0,1,1,12,5,10,20,12,55,2,5216.0
303,4,4,2.0,0,1,0,0,6,6,5,30,4,25,22,10368.0
304,4,4,2.0,1,0,0,1,9,3,6,40,21,20,14,8146.0
305,4,4,1.0,0,1,0,1,27,3,13,0,4,25,15,12242.0
306,2,2,1.0,0,1,0,0,15,3,8,0,15,15,7,9134.0
307,4,4,2.0,0,0,0,1,6,6,13,15,9,25,20,10939.0
308,4,4,2.0,0,0,0,1,6,6,10,55,7,40,20,11753.0
309,3,3,3.0,0,0,1,1,24,4,17,10,19,40,2,4174.0
310,3,3,1.0,0,1,0,0,21,5,20,0,19,50,23,10844.0
311,4,4,1.0,0,1,0,1,3,6,16,0,19,0,27,14714.0
312,3,3,1.0,0,1,0,0,12,6,6,30,12,0,5,9899.0
313,4,4,1.0,1,0,0,1,3,3,9,10,21,0,11,14871.0
314,0,0,3.0,1,0,0,1,6,3,13,20,15,35,2,7295.0
315,4,4,2.0,0,0,0,1,6,6,18,45,19,15,24,13465.0
316,0,0,3.0,0,0,1,0,21,5,17,45,20,5,2,3543.0
317,4,4,1.0,0,0,1,1,27,6,19,0,1,30,6,7198.0
318,4,4,1.0,0,1,0,0,1,6,8,0,4,25,20,10262.0
319,3,3,3.0,1,0,0,1,15,3,15,20,17,55,2,4148.0
320,2,2,3.0,0,1,0,1,27,6,15,15,18,10,2,8016.0
321,4,4,1.0,0,1,0,0,9,6,22,50,4,25,5,10262.0
322,3,3,3.0,0,0,1,0,15,6,14,55,17,25,2,3841.0
323,2,2,1.0,0,1,0,1,12,3,9,45,0,30,14,11507.0
324,3,3,1.0,0,1,0,1,1,5,8,25,20,45,12,14781.0
325,4,4,1.0,0,1,0,1,27,5,17,30,19,0,25,16079.0
326,4,4,1.0,0,1,0,0,27,5,22,50,4,25,5,12898.0
327,4,4,1.0,0,0,1,1,6,3,7,30,19,15,11,15353.0
328,2,2,3.0,1,0,0,1,24,3,18,25,21,20,2,7303.0
329,3,3,1.0,0,0,1,1,24,3,15,5,20,45,5,6197.0
330,3,3,1.0,0,0,0,1,9,6,9,10,13,15,4,8996.0
331,4,4,1.0,1,0,0,1,21,3,14,20,22,20,8,6528.0
332,2,2,3.0,0,0,1,1,9,4,20,55,23,40,2,4239.0
333,3,3,3.0,1,0,0,1,12,3,20,25,23,5,2,4148.0
334,2,2,3.0,0,0,1,1,24,5,21,10,0,5,2,3971.0
335,3,3,1.0,0,0,1,1,6,5,7,35,23,30,15,5192.0
336,4,4,2.0,0,1,0,1,9,4,13,25,12,35,23,9483.0
337,4,4,2.0,0,1,0,1,3,6,11,40,19,0,7,18804.0
338,4,4,3.0,0,0,0,1,18,6,5,10,8,0,2,5201.0
339,4,4,1.0,0,1,0,1,27,5,11,30,19,0,7,16079.0
340,2,2,3.0,0,1,0,0,15,6,19,50,22,50,3,7229.0
341,4,4,1.0,0,0,1,1,27,5,17,45,1,30,7,6795.0
342,3,3,1.0,0,1,0,1,9,5,9,35,10,55,25,10953.0
343,4,4,2.0,0,0,1,1,24,6,15,5,1,30,10,15965.0
344,4,4,2.0,0,0,0,1,9,4,12,55,19,15,30,9968.0
345,3,3,3.0,1,0,0,1,6,6,22,15,0,50,2,4804.0
346,4,4,1.0,0,1,0,1,27,5,10,0,19,0,9,16079.0
347,4,4,2.0,0,1,0,0,12,6,21,25,12,35,15,11507.0
348,3,3,2.0,0,0,0,1,9,6,9,25,13,45,28,11542.0
349,2,2,3.0,0,1,0,1,24,4,17,45,20,45,3,7229.0
350,2,2,3.0,0,1,0,0,27,4,6,0,8,45,2,4544.0
351,4,4,1.0,1,0,0,1,15,5,5,10,10,5,4,6496.0
352,3,3,3.0,1,0,0,1,15,6,21,25,0,5,2,4804.0
353,2,2,1.0,0,0,0,1,1,3,11,5,9,15,22,13439.0
354,4,4,1.0,0,1,0,0,27,3,18,15,4,25,10,6540.0
355,2,2,3.0,1,0,0,1,1,6,23,30,2,20,2,4591.0
356,2,2,1.0,1,0,0,1,18,3,16,15,20,35,4,4437.0
357,4,4,1.0,0,0,1,1,21,3,20,10,7,10,11,6151.0
358,2,2,3.0,0,1,0,0,21,6,17,45,20,45,3,7754.0
359,4,4,1.0,0,1,0,0,24,6,14,0,12,35,22,10262.0
360,2,2,3.0,0,1,0,1,9,6,18,55,22,0,3,8016.0
361,3,3,3.0,0,0,1,0,24,3,6,55,9,35,2,4781.0
362,2,2,3.0,0,0,1,1,27,6,11,30,14,20,2,4668.0
363,2,2,1.0,0,0,0,1,6,3,11,50,8,55,21,14594.0
364,3,3,1.0,0,1,0,1,24,3,16,55,4,45,11,14231.0
365,4,4,1.0,0,0,0,1,15,5,5,15,6,50,25,8425.0
366,4,4,1.0,0,0,1,1,12,6,7,5,22,30,15,9646.0
367,0,0,3.0,1,0,0,1,3,3,14,40,17,5,2,7295.0
368,3,3,1.0,0,0,1,1,9,4,6,50,10,30,3,5162.0
369,2,2,3.0,1,0,0,1,9,3,18,25,21,20,2,6860.0
370,4,4,3.0,0,0,1,1,15,4,6,0,9,10,3,6216.0
371,3,3,1.0,0,0,1,1,24,5,7,35,19,25,11,5192.0
372,2,2,3.0,1,0,0,1,9,4,20,0,22,50,2,4823.0
